imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average
tt1239290,The Woman That Dreamed About a Man,2010,Drama,4000000,0,4.8
tt1239430,City of Shadows,2010,Drama,4800000,0,5.5
tt1240539,Corruption.Gov,2010,Thriller,5,0,3.5
tt1241017,How to Make Love to a Woman,2010,Comedy,0,0,4.6
tt1241258,Twisted Path,2010,Mystery,0,0,5.5
tt1241319,Gerrymandering,2010,Documentary,0,0,6.0
tt1241329,The River Why,2010,Drama,0,0,5.7
tt1241330,Road Kill,2010,Horror,0,0,3.9
tt1242432,I Spit on Your Grave,2010,Horror,2000000,572809,6.4
tt1242520,Sister Welsh's Nights,2010,Comedy,0,0,7.0
tt1242744,The Valdemar Legacy,2010,Horror,0,0,5.0
tt1243957,The Tourist,2010,Action,100000000,278731369,6.1
tt1244093,Hisss,2010,Comedy,10000000,0,3.5
tt1244588,Magic Man,2010,Crime,0,0,2.5
tt1244658,Burning Bright,2010,Drama,0,0,6.1
tt1244659,Extraordinary Measures,2010,Drama,31000000,15134293,6.3
tt1244754,Conviction,2010,Biography,12500000,6732980,7.2
tt1245098,Robert Williams Mr. Bitchin',2010,Biography,0,0,8.0
tt1245111,Psychic Experiment,2010,Horror,0,0,3.8
tt1245526,RED,2010,Action,58000000,71664962,6.6
tt1245647,22nd of May,2010,Drama,0,0,6.1
tt1245766,Triptosane,2010,Sci-Fi,33000,0,8.5
tt1247400,The Lazarus Papers,2010,Action,0,0,4.5
tt1247639,Bad Faith,2010,Drama,0,0,4.3
tt1247657,Friendship!,2010,Adventure,0,0,6.5
tt1247667,High School,2010,Comedy,0,0,5.8
tt1247681,Magic Journey to Africa,2010,Adventure,15000000,0,4.1
tt1247683,Norman,2010,Comedy,0,0,6.0
tt1249170,Fighting Fish,2010,Drama,0,0,7.0
tt1250777,Kick-Ass,2010,Action,28000000,96188903,7.1
tt1250861,Under the Boardwalk: The Monopoly Story,2010,Documentary,0,0,6.2
tt1251360,The Nothing Men,2010,Drama,0,0,7.0
tt1251735,Justin Time,2010,Adventure,0,0,7.0
tt1252507,The Way Home,2010,Drama,0,0,5.1
tt1252516,Rosa Morena,2010,Drama,0,0,5.8
tt1254966,Northern Comfort,2010,Drama,0,0,5.0
tt1254978,Daylight,2010,Horror,0,0,4.2
tt1255953,Incendies,2010,Drama,10000000,0,8.1
tt1258201,Hello Lonesome,2010,Comedy,0,0,6.3
tt1258998,The Tenant,2010,Action,0,0,3.1
tt1259227,SoulBoy,2010,Comedy,0,0,6.3
tt1259520,Bon app?tit,2010,Drama,0,0,5.6
tt1259570,Neon Flesh,2010,Comedy,0,0,5.7
tt1259591,Dumas,2010,Comedy,0,0,6.1
tt1260357,To Fight For: The Year of Decision,2010,Documentary,0,0,7.0
tt1261862,The Killing Machine,2010,Action,0,0,5.3
tt1261945,Sex and the City 2,2010,Comedy,100000000,288347692,5.9
tt1262892,Endings,2010,Drama,0,0,10.0
tt1262958,A Small Act,2010,Documentary,0,0,8.0
tt1262986,The Last Play at Shea,2010,Biography,0,0,4.7
tt1263018,The Devil Within,2010,Thriller,0,0,3.2
